customer_id,customer_segment,city,state,country
CUS000001,PREMIUM,Indore,Madhya Pradesh,India
CUS000002,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000003,STANDARD,Kolkata,West Bengal,India
CUS000004,PREMIUM,Thiruvananthapuram,Kerala,India
CUS000005,STANDARD,Gurugram,Haryana,India
CUS000006,STANDARD,Bengaluru,Karnataka,India
CUS000007,PREMIUM,Bengaluru,Karnataka,India
CUS000008,STANDARD,Delhi,Delhi,India
CUS000009,PREMIUM,Gurugram,Haryana,India
CUS000010,PREMIUM,Bengaluru,Karnataka,India
CUS000011,PREMIUM,Mysuru,Karnataka,India
CUS000012,STANDARD,Chandigarh,Chandigarh,India
CUS000013,STANDARD,Coimbatore,Tamil Nadu,India
CUS000014,VIP,Lucknow,Uttar Pradesh,India
CUS000015,PREMIUM,Kochi,Kerala,India
CUS000016,PREMIUM,Jaipur,Rajasthan,India
CUS000017,PREMIUM,Noida,Uttar Pradesh,India
CUS000018,STANDARD,Nashik,Maharashtra,India
CUS000019,STANDARD,Mysuru,Karnataka,India
CUS000020,STANDARD,Madurai,Tamil Nadu,India
CUS000021,PREMIUM,Jaipur,Rajasthan,India
CUS000022,STANDARD,Chandigarh,Chandigarh,India
CUS000023,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000024,VIP,Hyderabad,Telangana,India
CUS000025,STANDARD,Jaipur,Rajasthan,India
CUS000026,STANDARD,Mysuru,Karnataka,India
CUS000027,VIP,Jaipur,Rajasthan,India
CUS000028,PREMIUM,Noida,Uttar Pradesh,India
CUS000029,STANDARD,Chennai,Tamil Nadu,India
CUS000030,STANDARD,Madurai,Tamil Nadu,India
CUS000031,VIP,Mysuru,Karnataka,India
CUS000032,VIP,Bhopal,Madhya Pradesh,India
CUS000033,PREMIUM,Vijayawada,Andhra Pradesh,India
CUS000034,STANDARD,Chandigarh,Chandigarh,India
CUS000035,PREMIUM,Chennai,Tamil Nadu,India
CUS000036,PREMIUM,Bengaluru,Karnataka,India
CUS000037,STANDARD,Coimbatore,Tamil Nadu,India
CUS000038,STANDARD,Surat,Gujarat,India
CUS000039,PREMIUM,Surat,Gujarat,India
CUS000040,VIP,Gurugram,Haryana,India
CUS000041,PREMIUM,Bhubaneswar,Odisha,India
CUS000042,VIP,Mumbai,Maharashtra,India
CUS000043,VIP,Visakhapatnam,Andhra Pradesh,India
CUS000044,PREMIUM,Noida,Uttar Pradesh,India
CUS000045,STANDARD,Chandigarh,Chandigarh,India
CUS000046,STANDARD,Bhopal,Madhya Pradesh,India
CUS000047,PREMIUM,Chandigarh,Chandigarh,India
CUS000048,PREMIUM,Thiruvananthapuram,Kerala,India
CUS000049,VIP,Delhi,Delhi,India
CUS000050,STANDARD,Mysuru,Karnataka,India
CUS000051,VIP,Bengaluru,Karnataka,India
CUS000052,VIP,Delhi,Delhi,India
CUS000053,PREMIUM,Hyderabad,Telangana,India
CUS000054,PREMIUM,Nagpur,Maharashtra,India
CUS000055,PREMIUM,Jaipur,Rajasthan,India
CUS000056,PREMIUM,Surat,Gujarat,India
CUS000057,PREMIUM,Ahmedabad,Gujarat,India
CUS000058,PREMIUM,Bhopal,Madhya Pradesh,India
CUS000059,STANDARD,Ahmedabad,Gujarat,India
CUS000060,STANDARD,Chandigarh,Chandigarh,India
CUS000061,PREMIUM,Bhopal,Madhya Pradesh,India
CUS000062,VIP,Jaipur,Rajasthan,India
CUS000063,STANDARD,Nagpur,Maharashtra,India
CUS000064,STANDARD,Bhubaneswar,Odisha,India
CUS000065,VIP,Thiruvananthapuram,Kerala,India
CUS000066,STANDARD,Coimbatore,Tamil Nadu,India
CUS000067,PREMIUM,Kochi,Kerala,India
CUS000068,PREMIUM,Pune,Maharashtra,India
CUS000069,VIP,Kochi,Kerala,India
CUS000070,PREMIUM,Kochi,Kerala,India
CUS000071,STANDARD,Bhubaneswar,Odisha,India
CUS000072,PREMIUM,Chandigarh,Chandigarh,India
CUS000073,STANDARD,Nashik,Maharashtra,India
CUS000074,STANDARD,Nashik,Maharashtra,India
CUS000075,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000076,PREMIUM,Indore,Madhya Pradesh,India
CUS000077,PREMIUM,Ahmedabad,Gujarat,India
CUS000078,PREMIUM,Bhopal,Madhya Pradesh,India
CUS000079,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000080,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000081,VIP,Visakhapatnam,Andhra Pradesh,India
CUS000082,VIP,Surat,Gujarat,India
CUS000083,STANDARD,Kolkata,West Bengal,India
CUS000084,STANDARD,Coimbatore,Tamil Nadu,India
CUS000085,STANDARD,Vijayawada,Andhra Pradesh,India
CUS000086,PREMIUM,Mysuru,Karnataka,India
CUS000087,STANDARD,Nagpur,Maharashtra,India
