product_id,brand,category,product_name,regular_price_inr,currency,active
PRD00001,Apple,Tablets,Apple Android Tablet 282,107196,INR,True
PRD00002,Bose,Headphones,Bose Noise Cancelling Headphones 105,49765,INR,True
PRD00003,OnePlus,Tablets,OnePlus Android Tablet 433,87397,INR,True
PRD00004,HP,Laptops,HP Business Laptop 239,87314,INR,True
PRD00005,GoPro,Cameras,GoPro Mirrorless Camera 204,167127,INR,True
PRD00006,Agaro,Vacuum Cleaners,Agaro Upright Vacuum Cleaner 460,19446,INR,True
PRD00007,Garmin,Smart Watches,Garmin Fitness Smart Watch 715,22926,INR,True
PRD00008,Whirlpool,Washing Machines,Whirlpool Top Load Washing Machine 221,38379,INR,True
PRD00009,LG,Refrigerators,LG Double Door Refrigerator 100,69797,INR,True
PRD00010,Whirlpool,Refrigerators,Whirlpool Side by Side Refrigerator 45,125791,INR,True
PRD00011,Karcher,Vacuum Cleaners,Karcher Cordless Vacuum Cleaner 945,68774,INR,True
PRD00012,LG,Washing Machines,LG Fully Automatic Washing Machine 850,56427,INR,True
PRD00013,OnePlus,Tablets,OnePlus Gaming Tablet 197,85674,INR,True
PRD00014,Dyson,Vacuum Cleaners,Dyson Cordless Vacuum Cleaner 234,48336,INR,True
PRD00015,Sony,Gaming,Sony Gaming Controller 390,16238,INR,True
PRD00016,Logitech,Gaming,Logitech Gaming Keyboard 380,24319,INR,True
PRD00017,Samsung,Refrigerators,Samsung Side by Side Refrigerator 960,111988,INR,True
PRD00018,Apple,Tablets,Apple Professional Tablet 747,80010,INR,True
PRD00019,Bose,Headphones,Bose Gaming Headset 277,26367,INR,True
PRD00020,OnePlus,Tablets,OnePlus Professional Tablet 333,99733,INR,True
PRD00021,Dell,Laptops,Dell Business Laptop 411,112694,INR,True
PRD00022,Sony,Gaming,Sony Gaming Controller 898,77341,INR,True
PRD00023,Eureka,Vacuum Cleaners,Eureka Robot Vacuum Cleaner 512,47954,INR,True
PRD00024,IFB,Washing Machines,IFB Front Load Washing Machine 143,52718,INR,True
PRD00025,Boat,Headphones,Boat Premium Earbuds 270,36822,INR,True
PRD00026,Agaro,Vacuum Cleaners,Agaro Upright Vacuum Cleaner 598,63839,INR,True
PRD00027,Whirlpool,Washing Machines,Whirlpool Front Load Washing Machine 522,36131,INR,True
PRD00028,LG,Air Conditioners,LG 1 Ton Split AC 157,39371,INR,True
PRD00029,Samsung,Tablets,Samsung Student Tablet 66,88172,INR,True
PRD00030,IFB,Washing Machines,IFB Fully Automatic Washing Machine 542,79348,INR,True
PRD00031,Razer,Gaming,Razer Gaming Console 699,18014,INR,True
PRD00032,Sony,Cameras,Sony Action Camera 301,49242,INR,True
PRD00033,Samsung,Washing Machines,Samsung Top Load Washing Machine 977,18425,INR,True
PRD00034,Eureka,Vacuum Cleaners,Eureka Robot Vacuum Cleaner 935,38271,INR,True
PRD00035,Motorola,Mobile Phones,Motorola Ultra Smartphone 520,175496,INR,True
PRD00036,Samsung,Smart Watches,Samsung Premium Smart Watch 781,51009,INR,True
PRD00037,OnePlus,TVs,OnePlus Mini LED Smart TV 614,20149,INR,True
PRD00038,Godrej,Refrigerators,Godrej Double Door Refrigerator 952,34662,INR,True
PRD00039,Whirlpool,Refrigerators,Whirlpool French Door Refrigerator 247,27592,INR,True
PRD00040,Apple,Smart Watches,Apple Fitness Smart Watch 836,65699,INR,True
PRD00041,Xiaomi,Mobile Phones,Xiaomi Pro Smartphone 676,41657,INR,True
PRD00042,Blue Star,Air Conditioners,Blue Star 1.5 Ton Split AC 541,59741,INR,True
PRD00043,Fossil,Smart Watches,Fossil Premium Smart Watch 774,72686,INR,True
PRD00044,Philips,Vacuum Cleaners,Philips Handheld Vacuum Cleaner 688,31148,INR,True
PRD00045,Lenovo,Tablets,Lenovo Student Tablet 463,77839,INR,True
PRD00046,Samsung,Mobile Phones,Samsung Pro Smartphone 347,24784,INR,True
PRD00047,Acer,Laptops,Acer Professional Laptop 603,90323,INR,True
PRD00048,Sony,Headphones,Sony Wireless Headphones 647,47889,INR,True
PRD00049,Dell,Laptops,Dell Business Laptop 881,38234,INR,True
PRD00050,LG,Refrigerators,LG French Door Refrigerator 686,56500,INR,True
PRD00051,Samsung,Air Conditioners,Samsung 1.5 Ton Split AC 591,99847,INR,True
PRD00052,Samsung,Air Conditioners,Samsung Inverter AC 195,78354,INR,True
PRD00053,Apple,Mobile Phones,Apple Budget Smartphone 434,100876,INR,True
PRD00054,IFB,Washing Machines,IFB Fully Automatic Washing Machine 690,25100,INR,True
PRD00055,Apple,Tablets,Apple Android Tablet 746,62772,INR,True
PRD00056,LG,Refrigerators,LG French Door Refrigerator 195,45112,INR,True
PRD00057,Fujifilm,Cameras,Fujifilm DSLR Camera 188,130593,INR,True
PRD00058,Logitech,Gaming,Logitech Gaming Controller 454,12880,INR,True
PRD00059,Canon,Cameras,Canon Mirrorless Camera 554,190955,INR,True
PRD00060,HP,Laptops,HP Gaming Laptop 417,73597,INR,True
PRD00061,Daikin,Air Conditioners,Daikin 1.5 Ton Split AC 925,77565,INR,True
PRD00062,Dell,Laptops,Dell Student Laptop 400,30565,INR,True
PRD00063,Logitech,Gaming,Logitech Gaming Keyboard 714,58444,INR,True
PRD00064,Agaro,Vacuum Cleaners,Agaro Upright Vacuum Cleaner 195,15144,INR,True
PRD00065,Microsoft,Gaming,Microsoft Gaming Console 754,78914,INR,True
PRD00066,Canon,Cameras,Canon Action Camera 52,34985,INR,True
PRD00067,Fossil,Smart Watches,Fossil Premium Smart Watch 984,9455,INR,True
PRD00068,Canon,Cameras,Canon DSLR Camera 610,37962,INR,True
PRD00069,Motorola,Mobile Phones,Motorola Pro Smartphone 123,113847,INR,True
PRD00070,Samsung,Smart Watches,Samsung Fitness Smart Watch 430,12745,INR,True
PRD00071,OnePlus,Tablets,OnePlus Gaming Tablet 210,44179,INR,True
PRD00072,Lenovo,Tablets,Lenovo Professional Tablet 406,44814,INR,True
PRD00073,Hisense,TVs,Hisense QLED Smart TV 324,139858,INR,True
PRD00074,Apple,Mobile Phones,Apple Budget Smartphone 577,170833,INR,True
PRD00075,Apple,Mobile Phones,Apple Flagship Smartphone 519,63877,INR,True
PRD00076,Microsoft,Gaming,Microsoft Gaming Keyboard 901,12016,INR,True
PRD00077,JBL,Headphones,JBL Bluetooth Earbuds 449,11838,INR,True
PRD00078,Sony,Cameras,Sony Mirrorless Camera 837,195076,INR,True
PRD00079,Sony,Cameras,Sony Mirrorless Camera 271,55203,INR,True
PRD00080,Apple,Mobile Phones,Apple Flagship Smartphone 279,48749,INR,True
PRD00081,Razer,Gaming,Razer Gaming Controller 209,47942,INR,True
PRD00082,Lenovo,Tablets,Lenovo Student Tablet 928,42914,INR,True
PRD00083,HP,Laptops,HP Student Laptop 46,102530,INR,True
PRD00084,Lenovo,Laptops,Lenovo Gaming Laptop 166,98670,INR,True
PRD00085,Karcher,Vacuum Cleaners,Karcher Upright Vacuum Cleaner 10,41759,INR,True
PRD00086,Apple,Mobile Phones,Apple Pro Smartphone 37,151023,INR,True
PRD00087,Haier,Refrigerators,Haier French Door Refrigerator 131,76333,INR,True
PRD00088,Lenovo,Laptops,Lenovo Ultrabook Laptop 921,40458,INR,True
PRD00089,Samsung,Refrigerators,Samsung French Door Refrigerator 106,107416,INR,True
PRD00090,Haier,Refrigerators,Haier Single Door Refrigerator 636,147642,INR,True
PRD00091,Philips,Vacuum Cleaners,Philips Robot Vacuum Cleaner 167,61662,INR,True
PRD00092,TCL,TVs,TCL 4K Smart TV 755,67018,INR,True
PRD00093,Godrej,Refrigerators,Godrej French Door Refrigerator 164,54970,INR,True
PRD00094,Dyson,Vacuum Cleaners,Dyson Upright Vacuum Cleaner 40,62158,INR,True
PRD00095,Samsung,Air Conditioners,Samsung 1.5 Ton Split AC 359,85332,INR,True
PRD00096,Microsoft,Gaming,Microsoft Gaming Controller 676,6101,INR,True
PRD00097,Apple,Headphones,Apple Bluetooth Earbuds 886,19758,INR,True
PRD00098,OnePlus,Mobile Phones,OnePlus Ultra Smartphone 522,176160,INR,True
PRD00099,Bosch,Washing Machines,Bosch Top Load Washing Machine 119,21617,INR,True
PRD00100,Microsoft,Gaming,Microsoft Gaming Monitor 40,37795,INR,True
PRD00101,Xiaomi,Mobile Phones,Xiaomi Budget Smartphone 747,98619,INR,True
PRD00102,Godrej,Refrigerators,Godrej Double Door Refrigerator 922,70488,INR,True
PRD00103,Samsung,Smart Watches,Samsung GPS Smart Watch 726,7817,INR,True
PRD00104,LG,Washing Machines,LG Fully Automatic Washing Machine 704,88575,INR,True
PRD00105,Philips,Vacuum Cleaners,Philips Handheld Vacuum Cleaner 72,33265,INR,True
PRD00106,Lenovo,Tablets,Lenovo Gaming Tablet 869,96951,INR,True
PRD00107,Motorola,Mobile Phones,Motorola Ultra Smartphone 317,140939,INR,True
PRD00108,Xiaomi,Tablets,Xiaomi Gaming Tablet 714,62743,INR,True
PRD00109,Razer,Gaming,Razer Gaming Controller 431,28144,INR,True
PRD00110,Xiaomi,Tablets,Xiaomi Professional Tablet 583,90676,INR,True
PRD00111,Logitech,Gaming,Logitech Gaming Monitor 312,3053,INR,True
PRD00112,Microsoft,Gaming,Microsoft Gaming Mouse 622,79019,INR,True
PRD00113,Lenovo,Tablets,Lenovo Student Tablet 453,67905,INR,True
PRD00114,Samsung,Tablets,Samsung Student Tablet 923,114036,INR,True
PRD00115,Philips,Vacuum Cleaners,Philips Cordless Vacuum Cleaner 528,23598,INR,True
PRD00116,OnePlus,Tablets,OnePlus Gaming Tablet 839,22240,INR,True
PRD00117,Boat,Headphones,Boat Bluetooth Earbuds 826,16222,INR,True
PRD00118,Bose,Headphones,Bose Wireless Headphones 251,4528,INR,True
PRD00119,Blue Star,Air Conditioners,Blue Star 1 Ton Split AC 425,84692,INR,True
PRD00120,OnePlus,Tablets,OnePlus Professional Tablet 714,104155,INR,True
PRD00121,IFB,Washing Machines,IFB Top Load Washing Machine 152,49979,INR,True
PRD00122,Apple,Tablets,Apple Android Tablet 436,112029,INR,True
PRD00123,Bose,Headphones,Bose Premium Earbuds 52,31944,INR,True
PRD00124,Nikon,Cameras,Nikon Mirrorless Camera 137,139658,INR,True
PRD00125,Blue Star,Air Conditioners,Blue Star 2 Ton Split AC 628,83008,INR,True
PRD00126,Agaro,Vacuum Cleaners,Agaro Upright Vacuum Cleaner 929,59432,INR,True
PRD00127,Fujifilm,Cameras,Fujifilm DSLR Camera 883,214944,INR,True
PRD00128,Daikin,Air Conditioners,Daikin 2 Ton Split AC 861,57406,INR,True
PRD00129,Lenovo,Tablets,Lenovo Student Tablet 245,92149,INR,True
PRD00130,Logitech,Gaming,Logitech Gaming Console 241,40450,INR,True
PRD00131,Nintendo,Gaming,Nintendo Gaming Keyboard 83,73798,INR,True
PRD00132,LG,TVs,LG OLED Smart TV 711,120410,INR,True
PRD00133,Hisense,TVs,Hisense OLED Smart TV 425,36837,INR,True
PRD00134,Whirlpool,Washing Machines,Whirlpool Fully Automatic Washing Machine 426,79069,INR,True
PRD00135,Dell,Laptops,Dell Student Laptop 927,132099,INR,True
PRD00136,Apple,Smart Watches,Apple Sports Smart Watch 7,64518,INR,True
PRD00137,Whirlpool,Refrigerators,Whirlpool Single Door Refrigerator 914,131863,INR,True
PRD00138,Bosch,Washing Machines,Bosch Fully Automatic Washing Machine 820,89582,INR,True
PRD00139,Samsung,Smart Watches,Samsung Sports Smart Watch 280,30760,INR,True
PRD00140,IFB,Washing Machines,IFB Front Load Washing Machine 345,68968,INR,True
PRD00141,Xiaomi,Tablets,Xiaomi Professional Tablet 942,71261,INR,True
PRD00142,OnePlus,TVs,OnePlus Mini LED Smart TV 929,27069,INR,True
PRD00143,Bosch,Washing Machines,Bosch Fully Automatic Washing Machine 86,21552,INR,True
PRD00144,Xiaomi,Tablets,Xiaomi Professional Tablet 187,70515,INR,True
PRD00145,Lenovo,Laptops,Lenovo Student Laptop 217,115813,INR,True
PRD00146,Voltas,Air Conditioners,Voltas 2 Ton Split AC 285,74692,INR,True
PRD00147,Whirlpool,Washing Machines,Whirlpool Front Load Washing Machine 20,79644,INR,True
PRD00148,Agaro,Vacuum Cleaners,Agaro Cordless Vacuum Cleaner 359,67385,INR,True
PRD00149,Boat,Headphones,Boat Wireless Headphones 42,44213,INR,True
PRD00150,Dell,Laptops,Dell Gaming Laptop 637,35342,INR,True
PRD00151,LG,TVs,LG OLED Smart TV 686,144141,INR,True
PRD00152,Xiaomi,Mobile Phones,Xiaomi Pro Smartphone 717,129905,INR,True
PRD00153,Nintendo,Gaming,Nintendo Gaming Controller 797,18012,INR,True
PRD00154,Sony,TVs,Sony 4K Smart TV 27,171698,INR,True
PRD00155,Razer,Gaming,Razer Gaming Mouse 965,54990,INR,True
PRD00156,Philips,Vacuum Cleaners,Philips Cordless Vacuum Cleaner 708,43803,INR,True
PRD00157,Samsung,Tablets,Samsung Android Tablet 792,101382,INR,True
PRD00158,Razer,Gaming,Razer Gaming Console 802,77177,INR,True
PRD00159,Lenovo,Laptops,Lenovo Professional Laptop 678,142296,INR,True
PRD00160,LG,Refrigerators,LG Side by Side Refrigerator 870,21658,INR,True
PRD00161,IFB,Washing Machines,IFB Front Load Washing Machine 984,74822,INR,True
PRD00162,Godrej,Refrigerators,Godrej French Door Refrigerator 181,77080,INR,True
PRD00163,Agaro,Vacuum Cleaners,Agaro Handheld Vacuum Cleaner 828,45364,INR,True
PRD00164,Fujifilm,Cameras,Fujifilm Digital Camera 846,134183,INR,True
PRD00165,Agaro,Vacuum Cleaners,Agaro Handheld Vacuum Cleaner 873,26122,INR,True
PRD00166,Sony,Headphones,Sony Bluetooth Earbuds 250,31043,INR,True
PRD00167,Blue Star,Air Conditioners,Blue Star Inverter AC 30,69092,INR,True
PRD00168,Voltas,Air Conditioners,Voltas 1.5 Ton Split AC 218,88904,INR,True
PRD00169,Whirlpool,Refrigerators,Whirlpool Side by Side Refrigerator 902,56655,INR,True
PRD00170,Garmin,Smart Watches,Garmin Fitness Smart Watch 971,69715,INR,True
PRD00171,Sony,Headphones,Sony Noise Cancelling Headphones 417,48690,INR,True
PRD00172,Blue Star,Air Conditioners,Blue Star 1.5 Ton Split AC 662,87402,INR,True
PRD00173,Karcher,Vacuum Cleaners,Karcher Upright Vacuum Cleaner 18,56965,INR,True
PRD00174,OnePlus,Mobile Phones,OnePlus Pro Smartphone 709,114011,INR,True
PRD00175,JBL,Headphones,JBL Premium Earbuds 485,25684,INR,True
PRD00176,GoPro,Cameras,GoPro Action Camera 764,131543,INR,True
PRD00177,Sony,Cameras,Sony Action Camera 465,204249,INR,True
PRD00178,Nintendo,Gaming,Nintendo Gaming Keyboard 124,33217,INR,True
PRD00179,Philips,Vacuum Cleaners,Philips Handheld Vacuum Cleaner 761,12835,INR,True
PRD00180,Nikon,Cameras,Nikon DSLR Camera 757,76723,INR,True
PRD00181,Voltas,Air Conditioners,Voltas 2 Ton Split AC 853,38176,INR,True
