store_id,store_name,city,state,country,store_type
STR0001,Retail Store 001,Delhi,Delhi,India,LARGE
STR0002,Retail Store 002,Noida,Uttar Pradesh,India,EXPRESS
STR0003,Retail Store 003,Visakhapatnam,Andhra Pradesh,India,MEDIUM
STR0004,Retail Store 004,Pune,Maharashtra,India,EXPRESS
STR0005,Retail Store 005,Kochi,Kerala,India,EXPRESS
STR0006,Retail Store 006,Jaipur,Rajasthan,India,MEDIUM
STR0007,Retail Store 007,Thiruvananthapuram,Kerala,India,MEDIUM
STR0008,Retail Store 008,Mumbai,Maharashtra,India,LARGE
STR0009,Retail Store 009,Ahmedabad,Gujarat,India,EXPRESS
STR0010,Retail Store 010,Hyderabad,Telangana,India,LARGE
STR0011,Retail Store 011,Mumbai,Maharashtra,India,EXPRESS
STR0012,Retail Store 012,Indore,Madhya Pradesh,India,MEDIUM
STR0013,Retail Store 013,Ahmedabad,Gujarat,India,MEDIUM
STR0014,Retail Store 014,Mumbai,Maharashtra,India,EXPRESS
STR0015,Retail Store 015,Bhopal,Madhya Pradesh,India,EXPRESS
STR0016,Retail Store 016,Hyderabad,Telangana,India,LARGE
STR0017,Retail Store 017,Nashik,Maharashtra,India,LARGE
STR0018,Retail Store 018,Kolkata,West Bengal,India,LARGE
STR0019,Retail Store 019,Lucknow,Uttar Pradesh,India,LARGE
STR0020,Retail Store 020,Jaipur,Rajasthan,India,EXPRESS
STR0021,Retail Store 021,Bengaluru,Karnataka,India,MEDIUM
STR0022,Retail Store 022,Bengaluru,Karnataka,India,MEDIUM
STR0023,Retail Store 023,Nagpur,Maharashtra,India,MEDIUM
STR0024,Retail Store 024,Madurai,Tamil Nadu,India,MEDIUM
STR0025,Retail Store 025,Surat,Gujarat,India,LARGE
STR0026,Retail Store 026,Bhopal,Madhya Pradesh,India,LARGE
STR0027,Retail Store 027,Mysuru,Karnataka,India,EXPRESS
STR0028,Retail Store 028,Nagpur,Maharashtra,India,EXPRESS
STR0029,Retail Store 029,Kochi,Kerala,India,LARGE
STR0030,Retail Store 030,Nagpur,Maharashtra,India,MEDIUM
STR0031,Retail Store 031,Madurai,Tamil Nadu,India,MEDIUM
STR0032,Retail Store 032,Ahmedabad,Gujarat,India,MEDIUM
STR0033,Retail Store 033,Pune,Maharashtra,India,EXPRESS
